DB Version;Assembly Accession;Chromosome/Plasmid Name;Chromosome/Plasmid Xref;PGD Gene ID;Locus Tag;Feature Type;Start;End;Strand;Gene Name;Gene synonyns;Product Name;Product Name Confidence Class;Product Synonyms;RefSeq Accession;Length (nucleotides);Length (amino acids);Ortholog Group ID;ortholog_fragment?;Putative Inparalog Locus Tag;Putative Inparalog Name;Putative Inparalog Accession;Percent Identity;Alignment Length
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664412;PSPA7_0810;CDS;807017;807136;+;;;hypothetical protein;;;YP_001346205.1;120;40;POG023968;0;PSPA7_6154;hypothetical protein;YP_001351465.1;100;39
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672477;PSPA7_4847;CDS;4988029;4988148;-;;;hypothetical protein;;;YP_001350183.1;120;40;POG024405;0;PSPA7_6154;hypothetical protein;YP_001351465.1;100;39
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1673590;PSPA7_5404;CDS;5571345;5571464;-;;;hypothetical protein;;;YP_001350728.1;120;40;POG024491;0;PSPA7_6154;hypothetical protein;YP_001351465.1;100;39
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668921;PSPA7_3066;CDS;3175228;3176454;-;;;transposase mutator family protein;;;WP_010794468.1;1227;409;POG024210;0;PSPA7_6038;transposase mutator family protein;WP_010794468.1;100;408
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672675;PSPA7_4946;CDS;5103254;5103439;+;;;hypothetical protein;;;WP_003107073.1;186;62;POG000256;0;PSPA7_5924;hypothetical protein;WP_003107073.1;100;61
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1673051;PSPA7_5134;CDS;5285730;5285915;-;;;hypothetical protein;;;WP_003107073.1;186;62;POG000256;0;PSPA7_5924;hypothetical protein;WP_003107073.1;100;61
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1673299;PSPA7_5258;CDS;5412527;5412712;-;;;hypothetical protein;;;WP_003107073.1;186;62;POG000256;0;PSPA7_5924;hypothetical protein;WP_003107073.1;100;61
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1673137;PSPA7_5177;CDS;5322180;5325626;+;;;filamentous hemagglutinin outer membrane protein;;;YP_001350512.1;3447;1149;POG001605;0;PSPA7_5707;adhesive protein CupB5;WP_012077661.1;71,4;983
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1675088;PSPA7_6154;CDS;6358581;6358700;-;;;hypothetical protein;;;YP_001351465.1;120;40;POG023968;0;"PSPA7_5404 ; PSPA7_4847 ; PSPA7_0810";"hypothetical protein ; hypothetical protein ; hypothetical protein";"YP_001350728.1 ; YP_001350183.1 ; YP_001346205.1";"100.0 ; 100.0 ; 100.0";"39 ; 39 ; 39"
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1673453;PSPA7_5335;CDS;5497616;5498380;-;;;transposase;;;WP_001389365.1;765;255;POG024462;0;PSPA7_5344;transposase;WP_001389365.1;100;254
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1673471;PSPA7_5344;CDS;5511721;5512485;+;;;transposase;;;WP_001389365.1;765;255;POG024462;0;PSPA7_5335;transposase;WP_001389365.1;100;254
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1674630;PSPA7_5924;CDS;6119235;6119420;+;;;hypothetical protein;;;WP_003107073.1;186;62;POG000256;0;"PSPA7_5258 ; PSPA7_5134 ; PSPA7_4946";"hypothetical protein ; hypothetical protein ; hypothetical protein";"WP_003107073.1 ; WP_003107073.1 ; WP_003107073.1";"100.0 ; 100.0 ; 100.0";"61 ; 61 ; 61"
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1674196;PSPA7_5707;CDS;5875443;5878418;+;;;adhesive protein CupB5;;;WP_012077661.1;2976;992;POG024510;0;PSPA7_5177;filamentous hemagglutinin outer membrane protein;YP_001350512.1;71,4;983
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672677;PSPA7_4947;CDS;5103469;5104260;+;;;hypothetical protein;;;YP_001350283.1;792;264;POG000255;0;"PSPA7_5133 ; PSPA7_5257 ; PSPA7_5256";"hypothetical protein ; integrase catalytic subunit ; hypothetical protein";"YP_001350469.1 ; YP_001350589.1 ; YP_001350588.1";"98.9 ; 99.4 ; 99.1";"263 ; 155 ; 108"
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1674632;PSPA7_5925;CDS;6119450;6120241;+;;;hypothetical protein;;;YP_001351242.1;792;264;POG024430;0;PSPA7_5133;hypothetical protein;YP_001350469.1;98,5;263
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664158;PSPA7_0683;CDS;691538;692458;-;;;hypothetical protein;;;WP_012074128.1;921;307;POG018522;0;PSPA7_5073;hypothetical protein;WP_012074128.1;100;306
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664160;PSPA7_0684;CDS;692455;693165;-;;;tail fiber assembly protein;;;WP_012074129.1;711;237;POG023946;0;PSPA7_5072;tail fiber assembly protein;WP_012074129.1;100;236
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664164;PSPA7_0686;CDS;695155;695679;-;;;hypothetical protein;;;WP_012074131.1;525;175;POG018524;0;PSPA7_5070;hypothetical protein;WP_012074131.1;100;174
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664166;PSPA7_0687;CDS;695672;696844;-;;;hypothetical protein;;;WP_012074132.1;1173;391;POG021647;0;PSPA7_5069;hypothetical protein;WP_012074132.1;100;390
